company,ticker,fiscal_year,revenue,cogs,receivable_accounts,inventory,payable_accounts,current_assets,current_liabilities,working_capital,current_ratio,dio,dpo,dso,cash_conversion_cycle
Walmart,WMT,2025,680985,511753,9975,56435,58666,79458,96584,-17126,0.82,39.70,41.18,5.03,3.55
Walmart,WMT,2024,648125,490142,8796,54892,56812,76877,92415,-15538,0.83,41.50,41.16,4.71,5.05
Walmart,WMT,2023,611289,463721,7933,56576,53742,75655,92198,-16543,0.82,44.51,42.90,4.84,6.45
Walmart,WMT,2022,572754,429000,8280,56511,55261,81070,87379,-6309,0.93,43.16,44.41,4.71,3.46
Walmart,WMT,2021,559151,420315,6516,44949,49141,90067,92645,-2578,0.97,38.81,41.73,4.18,1.26
Target,TGT,2025,106566,76502,998,12740,13053,19454,20799,-1345,0.94,58.75,60.00,3.24,1.98
Target,TGT,2024,107412,77828,891,11886,12098,17498,19304,-1806,0.91,59.53,59.99,3.50,3.03
Target,TGT,2023,109120,82306,1169,13499,13487,17846,19500,-1654,0.92,60.76,64.23,3.35,-0.12
Target,TGT,2022,106005,74963,835,13902,15478,21573,21747,-174,0.99,59.78,68.99,2.52,-6.68
Target,TGT,2021,93561,66177,631,10653,12859,20756,20125,631,1.03,54.18,62.82,2.20,-6.44
Costco,COST,2025,275235,239886,3203,18116,19783,38380,37108,1272,1.03,27.97,29.83,3.93,2.07
Costco,COST,2024,254453,222358,2721,18647,19421,34246,35464,-1218,0.97,28.97,30.29,3.59,2.27
Costco,COST,2023,242290,212586,2285,16651,17483,35879,33583,2296,1.07,29.67,30.33,3.41,2.75
Costco,COST,2022,226954,199382,2241,17907,17848,32696,31998,698,1.02,29.40,31.24,3.25,1.42
Costco,COST,2021,195929,170684,1803,14215,16278,29505,29441,64,1.00,28.29,32.56,3.12,-1.15
Home Depot,HD,2025,159514,106206,4903,23451,11938,31683,28661,3022,1.11,76.34,37.76,9.42,48.00
Home Depot,HD,2024,152669,101709,3328,20976,10037,29775,22015,7760,1.35,82.29,38.54,7.94,51.69
Home Depot,HD,2023,157403,104625,3317,24886,11443,32471,23110,9361,1.41,81.90,43.44,7.82,46.28
Home Depot,HD,2022,151157,100325,3426,22068,13462,29055,28693,362,1.01,70.39,45.60,7.75,32.54
Home Depot,HD,2021,132110,87257,2992,16627,11606,28477,23166,5311,1.23,65.17,40.56,7.04,31.65
Best Buy,BBY,2025,41528,32143,1044,5085,4980,8224,8016,208,1.03,57.02,54.60,8.71,11.13
Best Buy,BBY,2024,43452,33849,939,4958,4637,7897,7909,-12,1.00,54.44,55.66,8.74,7.52
Best Buy,BBY,2023,46298,36386,1141,5140,5687,8802,8979,-177,0.98,55.70,62.65,8.61,1.66
Best Buy,BBY,2022,51761,40121,1042,5965,6803,10539,10674,-135,0.99,52.66,62.69,7.41,-2.62
Best Buy,BBY,2021,47262,36689,1061,5612,6979,12540,10521,2019,1.19,53.65,61.02,8.53,1.17
